Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation County,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation Location,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council,Census Tract,BIN,BBL,NTA
8002531292,EPC5238,NY,PAS,10/01/2014,21,SUBN,CHEVR,T,20390,29890,31490,01/01/20150111 12:00:00 PM,0007,7,345454,T800,A2,0011A,,NY,F,133,Essex St,,01/05/0001 12:00:00 PM,408,d1,,Y Y Y,1200A,0300A,BL,,2005,,0,A 77,21-No Parking (street clean),,,,,,,,,,,
8015318440,5298MD,NY,COM,03/06/2015,14,VAN,FRUEH,T,27790,19550,19570,01/01/88888888 12:00:00 PM,0025,25,333386,T103,B,0942A,,NY,F,1916,Park Ave,,01/05/0001 12:00:00 PM,408,c,,YYYYY,0700A,1000A,BROWN,,0,,0,CC3,14-No Standing,,,,,,,,,,,
7611181981,FYW2775,NY,PAS,07/28/2014,46,SUBN,SUBAR,T,8130,5430,5580,01/01/20160524 12:00:00 PM,0072,72,331845,T302,L,1020A,,K,F,184,31st St,,01/05/0001 12:00:00 PM,408,f1,,,,,BLACK,,2010,,0,J 32,46A-Double Parking (Non-COM),,,,,,,,,,,
7445908067,GWE1987,NY,PAS,04/13/2015,19,4DSD,LEXUS,T,59990,16540,16790,01/01/20170111 12:00:00 PM,102,102,355669,T402,D,0318P,,Q,F,120-20,Queens Blvd,,01/05/0001 12:00:00 PM,408,c3,,YYYYY,0300P,1000P,GY,,2015,,0,01 4,19-No Stand (bus stop),,,,,,,,,,,
7037692864,T671196C,NY,PAS,05/19/2015,19,4DSD,CHRYS,T,36090,10410,24690,01/01/88888888 12:00:00 PM,0028,28,341248,T103,X,0410P,,NY,F,66,W 116th St,,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,BLACK,,0,,0,19 7,19-No Stand (bus stop),,,,,,,,,,,
7704791394,JJF6834,PA,PAS,11/20/2014,21,4DSD,NISSA,T,74230,37980,38030,01/01/20150688 12:00:00 PM,0067,67,357104,T302,A,0839A,,K,F,1013,Rutland Rd,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,0900A,WHITE,,0,,0,C 32,21-No Parking (street clean),,,,,,,,,,,
7541599104,FYP8263,NY,PAS,08/01/2014,21,SUBN,HONDA,T,77530,63030,93230,01/01/20160605 12:00:00 PM,0079,79,355251,T301,O,0951A,,K,F,155,Skillman St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0830A,1000A,BK,,2012,,0,10 3,21-No Parking (street clean),,,,,,,,,,,
7443513951,FZL7450,NY,PAS,07/19/2014,71,4DSD,VOLVO,T,49210,0,0,01/01/20140927 12:00:00 PM,103,103,353083,T402,L,1043A,,Q,I,S,Henderson Ave,30ft W/of 189th St,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GR,,2002,,0,A 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7426321423,86318MA,NY,COM,09/23/2014,69,VAN,CHEVR,T,21690,26990,26790,01/01/20150720 12:00:00 PM,0005,5,346381,T105,E,0144P,,NY,O,199,Grand St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WH,,2007,,0,093,69-Failure to Disp Muni Recpt,,,,,,,,,,,
8017159560,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113,113,361082,T402,R,0259P,,Q,F,137-22,Bedell St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GREEN,,1993,,0,N 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
